#sample	 RC_RC_1
#d(mm)	 17.0
#D(mm)	 321.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 2
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 2 
#notes	 RkOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 33.5469999313
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
5.8082e+02	2.6324e+08	-9.1934e+01	2.4682e-02	-8.3327e-04
6.0281e+02	2.5600e+08	-8.9230e+01	2.4466e-02	3.2890e-04
6.2564e+02	2.5508e+08	-9.5049e+01	2.3569e-02	-2.0821e-03
6.4932e+02	2.5082e+08	-9.7241e+01	2.3000e-02	-2.9221e-03
6.7391e+02	2.2972e+08	-9.8868e+01	2.4099e-02	-3.7598e-03
6.9942e+02	2.2568e+08	-9.1943e+01	2.3907e-02	-8.1123e-04
7.2590e+02	2.1995e+08	-9.3860e+01	2.3596e-02	-1.5919e-03
7.5338e+02	2.0089e+08	-9.3873e+01	2.4891e-02	-1.6853e-03
7.8191e+02	1.9261e+08	-9.0249e+01	2.5072e-02	-1.0905e-04
8.1151e+02	1.8744e+08	-9.1854e+01	2.4810e-02	-8.0320e-04
8.4223e+02	1.8713e+08	-8.8720e+01	2.3952e-02	5.3504e-04
8.7412e+02	1.8075e+08	-8.9481e+01	2.3898e-02	2.1630e-04
9.0721e+02	1.7977e+08	-9.2482e+01	2.3130e-02	-1.0027e-03
9.4156e+02	1.6418e+08	-9.1601e+01	2.4417e-02	-6.8243e-04
9.7721e+02	1.5339e+08	-8.9390e+01	2.5189e-02	2.6811e-04
1.0142e+03	1.5241e+08	-8.9525e+01	2.4427e-02	2.0254e-04
1.0526e+03	1.4809e+08	-9.2251e+01	2.4204e-02	-9.5151e-04
1.0925e+03	1.4503e+08	-9.0300e+01	2.3832e-02	-1.2461e-04
1.1338e+03	1.3763e+08	-9.1774e+01	2.4186e-02	-7.4901e-04
1.1767e+03	1.3173e+08	-9.1119e+01	2.4354e-02	-4.7557e-04
1.2213e+03	1.2549e+08	-9.1632e+01	2.4628e-02	-7.0160e-04
1.2675e+03	1.2509e+08	-8.8865e+01	2.3810e-02	4.7159e-04
1.3155e+03	1.1821e+08	-9.0246e+01	2.4281e-02	-1.0406e-04
1.3653e+03	1.1465e+08	-8.8861e+01	2.4118e-02	4.7949e-04
1.4170e+03	1.0939e+08	-8.8014e+01	2.4346e-02	8.4430e-04
1.4707e+03	1.1063e+08	-9.0914e+01	2.3205e-02	-3.7000e-04
1.5263e+03	9.9729e+07	-8.9852e+01	2.4805e-02	6.4112e-05
1.5841e+03	9.7746e+07	-8.9173e+01	2.4383e-02	3.5180e-04
1.6441e+03	9.9849e+07	-8.9663e+01	2.3001e-02	1.3543e-04
1.7063e+03	9.3902e+07	-8.9266e+01	2.3564e-02	3.0190e-04
1.7709e+03	9.0267e+07	-8.9111e+01	2.3617e-02	3.6633e-04
1.8380e+03	8.6636e+07	-9.2512e+01	2.3690e-02	-1.0393e-03
1.9076e+03	8.1179e+07	-9.0212e+01	2.4383e-02	-9.0032e-05
1.9798e+03	7.8997e+07	-8.9263e+01	2.4141e-02	3.1035e-04
2.0548e+03	7.6605e+07	-8.9979e+01	2.3988e-02	9.0014e-06
2.1325e+03	7.4560e+07	-8.9991e+01	2.3747e-02	3.9242e-06
2.2133e+03	6.9035e+07	-9.0157e+01	2.4712e-02	-6.7642e-05
2.2971e+03	6.7956e+07	-9.1905e+01	2.4176e-02	-8.0423e-04
2.3840e+03	6.4907e+07	-8.9772e+01	2.4401e-02	9.6948e-05
2.4743e+03	6.4481e+07	-8.8345e+01	2.3657e-02	6.8351e-04
2.5680e+03	6.0020e+07	-8.9663e+01	2.4498e-02	1.4430e-04
2.6652e+03	6.0172e+07	-9.0032e+01	2.3545e-02	-1.3205e-05
2.7661e+03	5.7402e+07	-9.0493e+01	2.3780e-02	-2.0454e-04
2.8708e+03	5.5102e+07	-9.0077e+01	2.3869e-02	-3.2153e-05
2.9795e+03	5.2915e+07	-8.9649e+01	2.3949e-02	1.4677e-04
3.0923e+03	5.0106e+07	-9.0341e+01	2.4369e-02	-1.4512e-04
3.2094e+03	4.9133e+07	-8.8819e+01	2.3940e-02	4.9336e-04
3.3309e+03	4.7274e+07	-8.9754e+01	2.3979e-02	1.0307e-04
3.4570e+03	4.5558e+07	-8.9985e+01	2.3975e-02	6.3657e-06
3.5879e+03	4.3906e+07	-8.8950e+01	2.3965e-02	4.3941e-04
3.7237e+03	4.2559e+07	-9.0296e+01	2.3826e-02	-1.2327e-04
3.8647e+03	4.0277e+07	-8.9728e+01	2.4257e-02	1.1516e-04
4.0110e+03	3.8949e+07	-8.9455e+01	2.4169e-02	2.2980e-04
4.1629e+03	3.8266e+07	-9.0102e+01	2.3703e-02	-4.2079e-05
4.3205e+03	3.6771e+07	-8.9855e+01	2.3767e-02	5.9961e-05
4.4841e+03	3.5029e+07	-9.0013e+01	2.4039e-02	-5.4674e-06
4.6538e+03	3.4145e+07	-8.9730e+01	2.3762e-02	1.1180e-04
4.8300e+03	3.3139e+07	-8.9954e+01	2.3590e-02	1.8973e-05
5.0129e+03	3.1268e+07	-8.9679e+01	2.4089e-02	1.3501e-04
5.2027e+03	2.9854e+07	-8.9719e+01	2.4310e-02	1.1912e-04
5.3996e+03	2.9320e+07	-9.0114e+01	2.3850e-02	-4.7549e-05
5.6041e+03	2.8383e+07	-8.9477e+01	2.3738e-02	2.1670e-04
5.8162e+03	2.6955e+07	-8.9911e+01	2.4085e-02	3.7398e-05
6.0365e+03	2.6159e+07	-9.0411e+01	2.3912e-02	-1.7166e-04
6.2650e+03	2.5446e+07	-8.9850e+01	2.3685e-02	6.2018e-05
6.5022e+03	2.4165e+07	-8.9949e+01	2.4031e-02	2.1376e-05
6.7484e+03	2.3652e+07	-8.9560e+01	2.3656e-02	1.8149e-04
