#sample	 RCRC_1
#d(mm)	 1.978
#D(mm)	 6.506
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 3
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 32 
#notes	 R4.7kOhms_C47nF_R4.7kOhms_C1pF
#time_of_analysis	 482.128999949
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
5.8403e+06	4.4754e+03	-1.1813e+01	8.3766e+00	4.0051e+01
6.0614e+06	4.4680e+03	-1.2245e+01	8.3755e+00	3.8592e+01
6.2909e+06	4.4602e+03	-1.2693e+01	8.3749e+00	3.7185e+01
6.5291e+06	4.4519e+03	-1.3155e+01	8.3740e+00	3.5829e+01
6.7763e+06	4.4431e+03	-1.3630e+01	8.3711e+00	3.4522e+01
7.0328e+06	4.4336e+03	-1.4124e+01	8.3696e+00	3.3263e+01
7.2991e+06	4.4232e+03	-1.4636e+01	8.3704e+00	3.2051e+01
7.5754e+06	4.4123e+03	-1.5165e+01	8.3703e+00	3.0883e+01
7.8622e+06	4.4007e+03	-1.5708e+01	8.3687e+00	2.9756e+01
8.1599e+06	4.3882e+03	-1.6272e+01	8.3688e+00	2.8672e+01
8.4688e+06	4.3749e+03	-1.6852e+01	8.3684e+00	2.7627e+01
8.7895e+06	4.3607e+03	-1.7449e+01	8.3672e+00	2.6620e+01
9.1222e+06	4.3458e+03	-1.8064e+01	8.3656e+00	2.5648e+01
9.4676e+06	4.3299e+03	-1.8697e+01	8.3635e+00	2.4713e+01
9.8260e+06	4.3129e+03	-1.9349e+01	8.3614e+00	2.3811e+01
1.0198e+07	4.2948e+03	-2.0022e+01	8.3606e+00	2.2943e+01
1.0584e+07	4.2754e+03	-2.0717e+01	8.3607e+00	2.2106e+01
1.0985e+07	4.2550e+03	-2.1428e+01	8.3595e+00	2.1300e+01
1.1401e+07	4.2330e+03	-2.2161e+01	8.3595e+00	2.0524e+01
1.1832e+07	4.2102e+03	-2.2910e+01	8.3574e+00	1.9775e+01
1.2280e+07	4.1860e+03	-2.3679e+01	8.3557e+00	1.9054e+01
1.2745e+07	4.1605e+03	-2.4467e+01	8.3535e+00	1.8358e+01
1.3228e+07	4.1335e+03	-2.5276e+01	8.3518e+00	1.7688e+01
1.3729e+07	4.1049e+03	-2.6105e+01	8.3506e+00	1.7042e+01
1.4248e+07	4.0749e+03	-2.6953e+01	8.3490e+00	1.6419e+01
1.4788e+07	4.0432e+03	-2.7821e+01	8.3483e+00	1.5820e+01
1.5348e+07	4.0043e+03	-2.8745e+01	8.3690e+00	1.5258e+01
1.5929e+07	3.9690e+03	-2.9648e+01	8.3682e+00	1.4702e+01
1.6532e+07	3.9319e+03	-3.0569e+01	8.3679e+00	1.4167e+01
1.7158e+07	3.8932e+03	-3.1506e+01	8.3669e+00	1.3651e+01
1.7807e+07	3.8528e+03	-3.2461e+01	8.3667e+00	1.3153e+01
1.8481e+07	3.8107e+03	-3.3430e+01	8.3662e+00	1.2674e+01
1.9181e+07	3.7668e+03	-3.4416e+01	8.3662e+00	1.2211e+01
1.9907e+07	3.7211e+03	-3.5412e+01	8.3659e+00	1.1767e+01
2.0661e+07	3.6727e+03	-3.6441e+01	8.3720e+00	1.1338e+01
2.1443e+07	3.6242e+03	-3.7478e+01	8.3735e+00	1.0921e+01
2.2255e+07	3.5726e+03	-3.8507e+01	8.3751e+00	1.0526e+01
2.3098e+07	3.5203e+03	-3.9542e+01	8.3738e+00	1.0143e+01
2.3972e+07	3.4667e+03	-4.0592e+01	8.3738e+00	9.7726e+00
2.4880e+07	3.4112e+03	-4.1648e+01	8.3744e+00	9.4164e+00
2.5822e+07	3.3545e+03	-4.2709e+01	8.3747e+00	9.0729e+00
2.6799e+07	3.2967e+03	-4.3776e+01	8.3749e+00	8.7407e+00
2.7814e+07	3.2373e+03	-4.4845e+01	8.3761e+00	8.4216e+00
2.8867e+07	3.1770e+03	-4.5907e+01	8.3757e+00	8.1145e+00
2.9960e+07	3.1155e+03	-4.6981e+01	8.3775e+00	7.8173e+00
3.1094e+07	3.0528e+03	-4.8048e+01	8.3791e+00	7.5320e+00
3.2271e+07	2.9898e+03	-4.9116e+01	8.3804e+00	7.2553e+00
3.3493e+07	2.9261e+03	-5.0175e+01	8.3811e+00	6.9891e+00
3.4761e+07	2.8615e+03	-5.1230e+01	8.3830e+00	6.7328e+00
3.6077e+07	2.7965e+03	-5.2275e+01	8.3846e+00	6.4863e+00
3.7443e+07	2.7312e+03	-5.3318e+01	8.3869e+00	6.2474e+00
3.8861e+07	2.6657e+03	-5.4353e+01	8.3897e+00	6.0169e+00
4.0332e+07	2.6000e+03	-5.5380e+01	8.3931e+00	5.7944e+00
4.1859e+07	2.5343e+03	-5.6391e+01	8.3963e+00	5.5803e+00
4.3444e+07	2.4687e+03	-5.7397e+01	8.4007e+00	5.3731e+00
4.5088e+07	2.4032e+03	-5.8386e+01	8.4054e+00	5.1738e+00
4.6795e+07	2.3381e+03	-5.9361e+01	8.4104e+00	4.9817e+00
4.8567e+07	2.2733e+03	-6.0329e+01	8.4168e+00	4.7951e+00
5.0406e+07	2.2090e+03	-6.1281e+01	8.4237e+00	4.6155e+00
5.2314e+07	2.1452e+03	-6.2212e+01	8.4308e+00	4.4429e+00
5.4295e+07	2.0822e+03	-6.3136e+01	8.4392e+00	4.2747e+00
5.6350e+07	2.0196e+03	-6.4044e+01	8.4499e+00	4.1132e+00
5.8484e+07	1.9579e+03	-6.4921e+01	8.4596e+00	3.9591e+00
6.0698e+07	1.8972e+03	-6.5791e+01	8.4708e+00	3.8086e+00
6.2996e+07	1.8374e+03	-6.6643e+01	8.4829e+00	3.6633e+00
6.5381e+07	1.7782e+03	-6.7482e+01	8.4978e+00	3.5231e+00
6.7856e+07	1.7202e+03	-6.8301e+01	8.5133e+00	3.3877e+00
7.0425e+07	1.6630e+03	-6.9110e+01	8.5317e+00	3.2563e+00
7.3092e+07	1.6070e+03	-6.9901e+01	8.5508e+00	3.1289e+00
7.5859e+07	1.5516e+03	-7.0669e+01	8.5745e+00	3.0079e+00
7.8731e+07	1.4974e+03	-7.1417e+01	8.5988e+00	2.8910e+00
8.1712e+07	1.4443e+03	-7.2143e+01	8.6258e+00	2.7789e+00
8.4805e+07	1.3922e+03	-7.2844e+01	8.6555e+00	2.6720e+00
8.8016e+07	1.3412e+03	-7.3519e+01	8.6876e+00	2.5702e+00
9.1348e+07	1.2913e+03	-7.4174e+01	8.7234e+00	2.4728e+00
9.4806e+07	1.2424e+03	-7.4799e+01	8.7624e+00	2.3808e+00
9.8396e+07	1.1946e+03	-7.5387e+01	8.8046e+00	2.2956e+00
1.0212e+08	1.1479e+03	-7.5934e+01	8.8496e+00	2.2173e+00
1.0599e+08	1.1025e+03	-7.6445e+01	8.8980e+00	2.1453e+00
1.1000e+08	1.0582e+03	-7.6905e+01	8.9491e+00	2.0818e+00
