#sample	 RCRC_1
#d(mm)	 1.978
#D(mm)	 6.506
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 3
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 32 
#notes	 R4.7kOhms_C47nF_R4.7kOhms_C1pF
#time_of_analysis	 482.128999949
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
6.0281e+02	7.5630e+03	-1.7701e+01	7.1325e+04	2.2348e+05
6.2564e+02	7.4849e+03	-1.7966e+01	7.0447e+04	2.1725e+05
6.4932e+02	7.4051e+03	-1.8221e+01	6.9549e+04	2.1127e+05
6.7391e+02	7.3247e+03	-1.8455e+01	6.8586e+04	2.0552e+05
6.9942e+02	7.2434e+03	-1.8667e+01	6.7569e+04	2.0000e+05
7.2590e+02	7.1611e+03	-1.8864e+01	6.6519e+04	1.9469e+05
7.5338e+02	7.0784e+03	-1.9035e+01	6.5409e+04	1.8959e+05
7.8191e+02	6.9949e+03	-1.9188e+01	6.4270e+04	1.8468e+05
8.1151e+02	6.9116e+03	-1.9320e+01	6.3087e+04	1.7994e+05
8.4223e+02	6.8281e+03	-1.9428e+01	6.1859e+04	1.7538e+05
8.7412e+02	6.7447e+03	-1.9516e+01	6.0602e+04	1.7098e+05
9.0721e+02	6.6617e+03	-1.9578e+01	5.9298e+04	1.6673e+05
9.4156e+02	6.5799e+03	-1.9610e+01	5.7938e+04	1.6262e+05
9.7721e+02	6.4986e+03	-1.9623e+01	5.6558e+04	1.5863e+05
1.0142e+03	6.4184e+03	-1.9613e+01	5.5148e+04	1.5476e+05
1.0526e+03	6.3392e+03	-1.9577e+01	5.3705e+04	1.5102e+05
1.0925e+03	6.2616e+03	-1.9518e+01	5.2236e+04	1.4736e+05
1.1338e+03	6.1852e+03	-1.9424e+01	5.0715e+04	1.4382e+05
1.1767e+03	6.1105e+03	-1.9312e+01	4.9190e+04	1.4037e+05
1.2213e+03	6.0378e+03	-1.9188e+01	4.7670e+04	1.3698e+05
1.2675e+03	5.9672e+03	-1.9021e+01	4.6084e+04	1.3368e+05
1.3155e+03	5.8981e+03	-1.8843e+01	4.4519e+04	1.3045e+05
1.3653e+03	5.8313e+03	-1.8648e+01	4.2953e+04	1.2728e+05
1.4170e+03	5.7670e+03	-1.8434e+01	4.1383e+04	1.2416e+05
1.4707e+03	5.7045e+03	-1.8201e+01	3.9820e+04	1.2110e+05
1.5263e+03	5.6444e+03	-1.7948e+01	3.8255e+04	1.1810e+05
1.5841e+03	5.5864e+03	-1.7679e+01	3.6702e+04	1.1514e+05
1.6441e+03	5.5309e+03	-1.7391e+01	3.5154e+04	1.1224e+05
1.7063e+03	5.4775e+03	-1.7099e+01	3.3645e+04	1.0937e+05
1.7709e+03	5.4263e+03	-1.6795e+01	3.2159e+04	1.0655e+05
1.8380e+03	5.3771e+03	-1.6480e+01	3.0699e+04	1.0377e+05
1.9076e+03	5.3306e+03	-1.6152e+01	2.9259e+04	1.0103e+05
1.9798e+03	5.2859e+03	-1.5821e+01	2.7863e+04	9.8326e+04
2.0548e+03	5.2437e+03	-1.5478e+01	2.6491e+04	9.5662e+04
2.1325e+03	5.2036e+03	-1.5135e+01	2.5163e+04	9.3035e+04
2.2133e+03	5.1657e+03	-1.4784e+01	2.3870e+04	9.0447e+04
2.2971e+03	5.1294e+03	-1.4431e+01	2.2620e+04	8.7905e+04
2.3840e+03	5.0952e+03	-1.4078e+01	2.1416e+04	8.5400e+04
2.4743e+03	5.0632e+03	-1.3725e+01	2.0255e+04	8.2932e+04
2.5680e+03	5.0326e+03	-1.3371e+01	1.9137e+04	8.0512e+04
2.6652e+03	5.0037e+03	-1.3019e+01	1.8066e+04	7.8135e+04
2.7661e+03	4.9764e+03	-1.2663e+01	1.7031e+04	7.5806e+04
2.8708e+03	4.9506e+03	-1.2317e+01	1.6053e+04	7.3519e+04
2.9795e+03	4.9263e+03	-1.1974e+01	1.5117e+04	7.1278e+04
3.0923e+03	4.9036e+03	-1.1631e+01	1.4220e+04	6.9083e+04
3.2094e+03	4.8824e+03	-1.1293e+01	1.3366e+04	6.6931e+04
3.3309e+03	4.8626e+03	-1.0956e+01	1.2550e+04	6.4828e+04
3.4570e+03	4.8436e+03	-1.0628e+01	1.1780e+04	6.2776e+04
3.5879e+03	4.8262e+03	-1.0304e+01	1.1048e+04	6.0768e+04
3.7237e+03	4.8097e+03	-9.9848e+00	1.0354e+04	5.8810e+04
3.8647e+03	4.7941e+03	-9.6746e+00	9.7007e+03	5.6903e+04
4.0110e+03	4.7795e+03	-9.3675e+00	9.0805e+03	5.5045e+04
4.1629e+03	4.7659e+03	-9.0744e+00	8.5019e+03	5.3231e+04
4.3205e+03	4.7533e+03	-8.7855e+00	7.9541e+03	5.1466e+04
4.4841e+03	4.7413e+03	-8.4989e+00	7.4345e+03	4.9752e+04
4.6538e+03	4.7302e+03	-8.2218e+00	6.9477e+03	4.8084e+04
4.8300e+03	4.7200e+03	-7.9502e+00	6.4886e+03	4.6462e+04
5.0129e+03	4.7102e+03	-7.6849e+00	6.0571e+03	4.4889e+04
5.2027e+03	4.7012e+03	-7.4350e+00	5.6583e+03	4.3359e+04
5.3996e+03	4.6927e+03	-7.1869e+00	5.2804e+03	4.1876e+04
5.6041e+03	4.6853e+03	-6.9438e+00	4.9243e+03	4.0433e+04
5.8162e+03	4.6775e+03	-6.7088e+00	4.5925e+03	3.9042e+04
6.0365e+03	4.6709e+03	-6.4799e+00	4.2807e+03	3.7689e+04
6.2650e+03	4.6646e+03	-6.2601e+00	3.9906e+03	3.6379e+04
6.5022e+03	4.6583e+03	-6.0437e+00	3.7176e+03	3.5113e+04
6.7484e+03	4.6528e+03	-5.8371e+00	3.4641e+03	3.3885e+04
7.0038e+03	4.6473e+03	-5.6339e+00	3.2258e+03	3.2699e+04
7.2690e+03	4.6424e+03	-5.4394e+00	3.0043e+03	3.1550e+04
7.5442e+03	4.6378e+03	-5.2500e+00	2.7969e+03	3.0439e+04
7.8298e+03	4.6336e+03	-5.0676e+00	2.6039e+03	2.9363e+04
8.1263e+03	4.6298e+03	-4.8915e+00	2.4239e+03	2.8323e+04
8.4339e+03	4.6261e+03	-4.7170e+00	2.2542e+03	2.7319e+04
8.7532e+03	4.6232e+03	-4.5571e+00	2.0998e+03	2.6345e+04
9.0846e+03	4.6202e+03	-4.3986e+00	1.9542e+03	2.5406e+04
9.4286e+03	4.6171e+03	-4.2525e+00	1.8217e+03	2.4500e+04
9.7855e+03	4.6140e+03	-4.1010e+00	1.6940e+03	2.3627e+04
1.0156e+04	4.6120e+03	-3.9532e+00	1.5742e+03	2.2779e+04
1.0541e+04	4.6092e+03	-3.8166e+00	1.4653e+03	2.1965e+04
1.0940e+04	4.6072e+03	-3.6818e+00	1.3627e+03	2.1176e+04
1.1354e+04	4.6048e+03	-3.5489e+00	1.2663e+03	2.0417e+04
1.1784e+04	4.6030e+03	-3.4315e+00	1.1802e+03	1.9683e+04
1.2230e+04	4.6013e+03	-3.3102e+00	1.0974e+03	1.8974e+04
1.2693e+04	4.5994e+03	-3.1930e+00	1.0204e+03	1.8292e+04
1.3173e+04	4.5979e+03	-3.0802e+00	9.4878e+02	1.7632e+04
1.3672e+04	4.5966e+03	-2.9697e+00	8.8168e+02	1.6995e+04
1.4190e+04	4.5955e+03	-2.8705e+00	8.2134e+02	1.6381e+04
1.4727e+04	4.5941e+03	-2.7745e+00	7.6518e+02	1.5789e+04
1.5284e+04	4.5931e+03	-2.6796e+00	7.1223e+02	1.5218e+04
1.5863e+04	4.5921e+03	-2.5822e+00	6.6147e+02	1.4667e+04
1.6464e+04	4.5914e+03	-2.4906e+00	6.1483e+02	1.4135e+04
1.7087e+04	4.5904e+03	-2.4004e+00	5.7109e+02	1.3623e+04
1.7734e+04	4.5895e+03	-2.3198e+00	5.3189e+02	1.3130e+04
1.8405e+04	4.5887e+03	-2.2407e+00	4.9510e+02	1.2654e+04
1.9102e+04	4.5878e+03	-2.1626e+00	4.6051e+02	1.2195e+04
1.9825e+04	4.5870e+03	-2.0867e+00	4.2822e+02	1.1753e+04
2.0576e+04	4.5863e+03	-2.0114e+00	3.9779e+02	1.1327e+04
2.1355e+04	4.5855e+03	-1.9424e+00	3.7019e+02	1.0915e+04
2.2163e+04	4.5849e+03	-1.8808e+00	3.4542e+02	1.0519e+04
2.3002e+04	4.5844e+03	-1.8181e+00	3.2177e+02	1.0137e+04
2.3873e+04	4.5839e+03	-1.7521e+00	2.9881e+02	9.7686e+03
2.4777e+04	4.5834e+03	-1.6920e+00	2.7807e+02	9.4135e+03
2.5715e+04	4.5832e+03	-1.6365e+00	2.5915e+02	9.0707e+03
2.6689e+04	4.5828e+03	-1.5830e+00	2.4156e+02	8.7409e+03
2.7699e+04	4.5826e+03	-1.5329e+00	2.2540e+02	8.4227e+03
2.8748e+04	4.5819e+03	-1.4855e+00	2.1049e+02	8.1168e+03
2.9836e+04	4.5814e+03	-1.4350e+00	1.9594e+02	7.8217e+03
3.0966e+04	4.5809e+03	-1.3894e+00	1.8281e+02	7.5374e+03
3.2138e+04	4.5807e+03	-1.3456e+00	1.7061e+02	7.2628e+03
3.3355e+04	4.5805e+03	-1.3008e+00	1.5891e+02	6.9983e+03
3.4618e+04	4.5803e+03	-1.2596e+00	1.4828e+02	6.7435e+03
3.5928e+04	4.5800e+03	-1.2172e+00	1.3807e+02	6.4979e+03
3.7289e+04	4.5798e+03	-1.1774e+00	1.2868e+02	6.2612e+03
3.8700e+04	4.5798e+03	-1.1383e+00	1.1988e+02	6.0330e+03
4.0166e+04	4.5794e+03	-1.1052e+00	1.1215e+02	5.8134e+03
4.1686e+04	4.5793e+03	-1.0715e+00	1.0477e+02	5.6016e+03
4.3264e+04	4.5789e+03	-1.0391e+00	9.7901e+01	5.3978e+03
4.4902e+04	4.5788e+03	-1.0109e+00	9.1774e+01	5.2010e+03
4.6602e+04	4.5786e+03	-9.7959e-01	8.5692e+01	5.0116e+03
4.8367e+04	4.5784e+03	-9.4970e-01	8.0050e+01	4.8290e+03
5.0198e+04	4.5783e+03	-9.2175e-01	7.4861e+01	4.6530e+03
5.2098e+04	4.5781e+03	-8.9887e-01	7.0343e+01	4.4834e+03
5.4071e+04	4.5781e+03	-8.7439e-01	6.5933e+01	4.3200e+03
5.6118e+04	4.5781e+03	-8.5093e-01	6.1823e+01	4.1624e+03
5.8243e+04	4.5781e+03	-8.2869e-01	5.8011e+01	4.0106e+03
6.0448e+04	4.5779e+03	-8.0975e-01	5.4619e+01	3.8645e+03
6.2736e+04	4.5777e+03	-7.8793e-01	5.1211e+01	3.7237e+03
6.5111e+04	4.5778e+03	-7.7228e-01	4.8362e+01	3.5878e+03
6.7576e+04	4.5777e+03	-7.5327e-01	4.5452e+01	3.4570e+03
7.0135e+04	4.5775e+03	-7.3432e-01	4.2694e+01	3.3311e+03
7.2790e+04	4.5774e+03	-7.2191e-01	4.0443e+01	3.2096e+03
7.5546e+04	4.5773e+03	-7.0900e-01	3.8271e+01	3.0926e+03
7.8406e+04	4.5771e+03	-6.9414e-01	3.6104e+01	2.9799e+03
8.1375e+04	4.5770e+03	-6.7914e-01	3.4036e+01	2.8713e+03
8.4455e+04	4.5768e+03	-6.6872e-01	3.2292e+01	2.7667e+03
8.7653e+04	4.5769e+03	-6.5635e-01	3.0539e+01	2.6657e+03
9.0971e+04	4.5769e+03	-6.4608e-01	2.8964e+01	2.5685e+03
9.4416e+04	4.5768e+03	-6.3818e-01	2.7567e+01	2.4748e+03
9.7990e+04	4.5768e+03	-6.3182e-01	2.6296e+01	2.3845e+03
1.0170e+05	4.5768e+03	-6.2040e-01	2.4879e+01	2.2976e+03
1.0555e+05	4.5765e+03	-6.1347e-01	2.3705e+01	2.2139e+03
1.0955e+05	4.5764e+03	-6.0821e-01	2.2645e+01	2.1332e+03
1.1369e+05	4.5763e+03	-6.0475e-01	2.1696e+01	2.0554e+03
1.1800e+05	4.5764e+03	-5.9875e-01	2.0696e+01	1.9804e+03
1.2247e+05	4.5765e+03	-5.9660e-01	1.9869e+01	1.9081e+03
1.2710e+05	4.5765e+03	-5.9419e-01	1.9067e+01	1.8385e+03
1.3191e+05	4.5765e+03	-5.9251e-01	1.8320e+01	1.7715e+03
1.3691e+05	4.5764e+03	-5.9237e-01	1.7648e+01	1.7069e+03
1.4209e+05	4.5763e+03	-5.9286e-01	1.7018e+01	1.6446e+03
