#sample	 RC_RC_0
#d(mm)	 1.0
#D(mm)	 1.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 4
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 64 
#notes	 R4,7kOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 1795.22099996
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
3.6028e+06	3.3231e+00	-3.6241e+01	1.1301e+06	1.5418e+06
3.7392e+06	3.3174e+00	-3.6258e+01	1.0912e+06	1.4878e+06
3.8807e+06	3.3131e+00	-3.6312e+01	1.0541e+06	1.4344e+06
4.0276e+06	3.3100e+00	-3.6401e+01	1.0188e+06	1.3818e+06
4.1801e+06	3.3086e+00	-3.6522e+01	9.8484e+05	1.3299e+06
4.3384e+06	3.3094e+00	-3.6671e+01	9.5200e+05	1.2785e+06
4.5026e+06	3.3129e+00	-3.6846e+01	9.2006e+05	1.2278e+06
4.6731e+06	3.3171e+00	-3.7064e+01	8.8986e+05	1.1782e+06
4.8500e+06	3.3219e+00	-3.7320e+01	8.6122e+05	1.1297e+06
5.0336e+06	3.3278e+00	-3.7618e+01	8.3397e+05	1.0822e+06
5.2242e+06	3.3355e+00	-3.7948e+01	8.0768e+05	1.0357e+06
5.4220e+06	3.3444e+00	-3.8315e+01	7.8251e+05	9.9029e+05
5.6273e+06	3.3549e+00	-3.8714e+01	7.5820e+05	9.4590e+05
5.8403e+06	3.3675e+00	-3.9143e+01	7.3459e+05	9.0251e+05
6.0614e+06	3.3821e+00	-3.9605e+01	7.1170e+05	8.6015e+05
6.2909e+06	3.3988e+00	-4.0095e+01	6.8938e+05	8.1882e+05
6.5291e+06	3.4178e+00	-4.0613e+01	6.6763e+05	7.7857e+05
6.7763e+06	3.4387e+00	-4.1159e+01	6.4643e+05	7.3947e+05
7.0328e+06	3.4616e+00	-4.1738e+01	6.2585e+05	7.0150e+05
7.2991e+06	3.4861e+00	-4.2351e+01	6.0592e+05	6.6471e+05
7.5754e+06	3.5127e+00	-4.2993e+01	5.8648e+05	6.2909e+05
7.8622e+06	3.5420e+00	-4.3656e+01	5.6733e+05	5.9459e+05
8.1599e+06	3.5739e+00	-4.4346e+01	5.4856e+05	5.6123e+05
8.4688e+06	3.6084e+00	-4.5061e+01	5.3014e+05	5.2901e+05
8.7895e+06	3.6458e+00	-4.5796e+01	5.1199e+05	4.9796e+05
9.1222e+06	3.6860e+00	-4.6550e+01	4.9413e+05	4.6810e+05
9.4676e+06	3.7292e+00	-4.7323e+01	4.7657e+05	4.3941e+05
9.8260e+06	3.7750e+00	-4.8117e+01	4.5936e+05	4.1191e+05
1.0198e+07	3.8235e+00	-4.8937e+01	4.4256e+05	3.8557e+05
1.0584e+07	3.8749e+00	-4.9773e+01	4.2606e+05	3.6040e+05
1.0985e+07	3.9301e+00	-5.0619e+01	4.0976e+05	3.3635e+05
1.1401e+07	3.9895e+00	-5.1479e+01	3.9368e+05	3.1339e+05
1.1832e+07	4.0524e+00	-5.2347e+01	3.7790e+05	2.9158e+05
1.2280e+07	4.1189e+00	-5.3227e+01	3.6243e+05	2.7086e+05
1.2745e+07	4.1896e+00	-5.4114e+01	3.4725e+05	2.5124e+05
1.3228e+07	4.2647e+00	-5.5005e+01	3.3235e+05	2.3267e+05
1.3729e+07	4.3443e+00	-5.5898e+01	3.1775e+05	2.1515e+05
1.4248e+07	4.4282e+00	-5.6794e+01	3.0350e+05	1.9865e+05
1.4788e+07	4.5173e+00	-5.7688e+01	2.8956e+05	1.8313e+05
1.5348e+07	4.6052e+00	-5.8595e+01	2.7637e+05	1.6873e+05
1.5929e+07	4.7035e+00	-5.9489e+01	2.6318e+05	1.5509e+05
1.6532e+07	4.8070e+00	-6.0377e+01	2.5035e+05	1.4235e+05
1.7158e+07	4.9161e+00	-6.1259e+01	2.3790e+05	1.3047e+05
1.7807e+07	5.0306e+00	-6.2137e+01	2.2586e+05	1.1940e+05
1.8481e+07	5.1511e+00	-6.3004e+01	2.1421e+05	1.0913e+05
1.9181e+07	5.2778e+00	-6.3861e+01	2.0295e+05	9.9598e+04
1.9907e+07	5.4106e+00	-6.4709e+01	1.9211e+05	9.0775e+04
2.0661e+07	5.5500e+00	-6.5544e+01	1.8168e+05	8.2630e+04
2.1443e+07	5.6963e+00	-6.6365e+01	1.7165e+05	7.5118e+04
2.2255e+07	5.8496e+00	-6.7172e+01	1.6203e+05	6.8205e+04
2.3098e+07	6.0101e+00	-6.7966e+01	1.5282e+05	6.1852e+04
2.3972e+07	6.1781e+00	-6.8744e+01	1.4402e+05	5.6025e+04
2.4880e+07	6.3537e+00	-6.9506e+01	1.3562e+05	5.0689e+04
2.5822e+07	6.5372e+00	-7.0253e+01	1.2761e+05	4.5810e+04
2.6799e+07	6.7287e+00	-7.0986e+01	1.1999e+05	4.1349e+04
2.7814e+07	6.9289e+00	-7.1702e+01	1.1275e+05	3.7285e+04
2.8867e+07	7.1377e+00	-7.2403e+01	1.0588e+05	3.3581e+04
2.9960e+07	7.3559e+00	-7.3085e+01	9.9357e+04	3.0215e+04
3.1094e+07	7.5835e+00	-7.3750e+01	9.3181e+04	2.7160e+04
3.2271e+07	7.8213e+00	-7.4398e+01	8.7334e+04	2.4387e+04
3.3493e+07	8.0692e+00	-7.5030e+01	8.1809e+04	2.1874e+04
3.4761e+07	8.3278e+00	-7.5645e+01	7.6592e+04	1.9601e+04
3.6077e+07	8.5964e+00	-7.6245e+01	7.1679e+04	1.7547e+04
3.7443e+07	8.8765e+00	-7.6831e+01	6.7049e+04	1.5688e+04
3.8861e+07	9.1679e+00	-7.7399e+01	6.2692e+04	1.4014e+04
4.0332e+07	9.4713e+00	-7.7952e+01	5.8594e+04	1.2505e+04
4.1859e+07	9.7871e+00	-7.8493e+01	5.4742e+04	1.1144e+04
4.3444e+07	1.0116e+01	-7.9017e+01	5.1124e+04	9.9221e+03
4.5088e+07	1.0458e+01	-7.9527e+01	4.7727e+04	8.8221e+03
4.6795e+07	1.0814e+01	-8.0026e+01	4.4543e+04	7.8335e+03
4.8567e+07	1.1184e+01	-8.0512e+01	4.1560e+04	6.9458e+03
5.0406e+07	1.1568e+01	-8.0989e+01	3.8766e+04	6.1475e+03
5.2314e+07	1.1967e+01	-8.1457e+01	3.6151e+04	5.4304e+03
5.4295e+07	1.2382e+01	-8.1917e+01	3.3704e+04	4.7867e+03
5.6350e+07	1.2813e+01	-8.2372e+01	3.1418e+04	4.2075e+03
5.8484e+07	1.3258e+01	-8.2820e+01	2.9285e+04	3.6890e+03
6.0698e+07	1.3719e+01	-8.3256e+01	2.7293e+04	3.2275e+03
6.2996e+07	1.4198e+01	-8.3684e+01	2.5432e+04	2.8151e+03
6.5381e+07	1.4694e+01	-8.4111e+01	2.3697e+04	2.4444e+03
6.7856e+07	1.5206e+01	-8.4533e+01	2.2079e+04	2.1130e+03
7.0425e+07	1.5735e+01	-8.4952e+01	2.0573e+04	1.8174e+03
7.3092e+07	1.6281e+01	-8.5367e+01	1.9170e+04	1.5535e+03
7.5859e+07	1.6844e+01	-8.5779e+01	1.7863e+04	1.3182e+03
7.8731e+07	1.7423e+01	-8.6189e+01	1.6647e+04	1.1089e+03
8.1712e+07	1.8020e+01	-8.6597e+01	1.5516e+04	9.2263e+02
8.4805e+07	1.8631e+01	-8.7004e+01	1.4465e+04	7.5719e+02
8.8016e+07	1.9254e+01	-8.7407e+01	1.3491e+04	6.1106e+02
9.1348e+07	1.9884e+01	-8.7806e+01	1.2591e+04	4.8239e+02
9.4806e+07	2.0514e+01	-8.8179e+01	1.1762e+04	3.7390e+02
9.8396e+07	2.1143e+01	-8.8494e+01	1.0997e+04	2.8910e+02
1.0212e+08	2.1780e+01	-8.8722e+01	1.0287e+04	2.2947e+02
1.0599e+08	2.2436e+01	-8.8854e+01	9.6226e+03	1.9245e+02
1.1000e+08	2.3124e+01	-8.8903e+01	8.9959e+03	1.7223e+02
