#sample	 RC_RC_0
#d(mm)	 1.0
#D(mm)	 1.0
#freq_start	 40
#freq_stop	 110000000
#sweep	 LOG
#num_points	 400
#bandwidth	 4
#voltage	 0.5
#point_average	 ON
#measurements_per_point	 64 
#notes	 R4,7kOhms_C47nF_R4.7kOhms_C10uF
#time_of_analysis	 1795.22099996
#Freq(Hz)	 Z(ohms)	 Phase(degrees)	 er_Re	 er_Im
5.8082e+02	3.5365e+03	-3.9962e+01	7.1563e+06	8.5401e+06
6.0281e+02	3.4820e+03	-4.0991e+01	7.1522e+06	8.2303e+06
6.2564e+02	3.4259e+03	-4.2026e+01	7.1484e+06	7.9320e+06
6.4932e+02	3.3685e+03	-4.3067e+01	7.1451e+06	7.6443e+06
6.7391e+02	3.3099e+03	-4.4108e+01	7.1415e+06	7.3673e+06
6.9942e+02	3.2493e+03	-4.5141e+01	7.1383e+06	7.1034e+06
7.2590e+02	3.1885e+03	-4.6183e+01	7.1350e+06	6.8462e+06
7.5338e+02	3.1267e+03	-4.7224e+01	7.1317e+06	6.5984e+06
7.8191e+02	3.0639e+03	-4.8264e+01	7.1289e+06	6.3597e+06
8.1151e+02	3.0003e+03	-4.9300e+01	7.1263e+06	6.1295e+06
8.4223e+02	2.9361e+03	-5.0331e+01	7.1240e+06	5.9080e+06
8.7412e+02	2.8714e+03	-5.1356e+01	7.1219e+06	5.6943e+06
9.0721e+02	2.8063e+03	-5.2370e+01	7.1196e+06	5.4887e+06
9.4156e+02	2.7410e+03	-5.3374e+01	7.1170e+06	5.2905e+06
9.7721e+02	2.6755e+03	-5.4370e+01	7.1149e+06	5.0993e+06
1.0142e+03	2.6099e+03	-5.5354e+01	7.1132e+06	4.9154e+06
1.0526e+03	2.5445e+03	-5.6327e+01	7.1115e+06	4.7379e+06
1.0925e+03	2.4792e+03	-5.7285e+01	7.1098e+06	4.5670e+06
1.1338e+03	2.4142e+03	-5.8218e+01	7.1074e+06	4.4037e+06
1.1767e+03	2.3497e+03	-5.9144e+01	7.1059e+06	4.2453e+06
1.2213e+03	2.2857e+03	-6.0056e+01	7.1044e+06	4.0925e+06
1.2675e+03	2.2223e+03	-6.0943e+01	7.1024e+06	3.9462e+06
1.3155e+03	2.1596e+03	-6.1815e+01	7.1007e+06	3.8050e+06
1.3653e+03	2.0977e+03	-6.2673e+01	7.0992e+06	3.6684e+06
1.4170e+03	2.0367e+03	-6.3512e+01	7.0976e+06	3.5369e+06
1.4707e+03	1.9767e+03	-6.4333e+01	7.0961e+06	3.4102e+06
1.5263e+03	1.9176e+03	-6.5130e+01	7.0944e+06	3.2886e+06
1.5841e+03	1.8595e+03	-6.5907e+01	7.0929e+06	3.1718e+06
1.6441e+03	1.8024e+03	-6.6664e+01	7.0915e+06	3.0593e+06
1.7063e+03	1.7466e+03	-6.7407e+01	7.0899e+06	2.9503e+06
1.7709e+03	1.6918e+03	-6.8129e+01	7.0888e+06	2.8456e+06
1.8380e+03	1.6383e+03	-6.8831e+01	7.0877e+06	2.7448e+06
1.9076e+03	1.5859e+03	-6.9513e+01	7.0867e+06	2.6477e+06
1.9798e+03	1.5348e+03	-7.0175e+01	7.0855e+06	2.5544e+06
2.0548e+03	1.4850e+03	-7.0819e+01	7.0843e+06	2.4645e+06
2.1325e+03	1.4364e+03	-7.1443e+01	7.0828e+06	2.3777e+06
2.2133e+03	1.3891e+03	-7.2049e+01	7.0815e+06	2.2943e+06
2.2971e+03	1.3431e+03	-7.2635e+01	7.0803e+06	2.2141e+06
2.3840e+03	1.2983e+03	-7.3205e+01	7.0790e+06	2.1366e+06
2.4743e+03	1.2548e+03	-7.3758e+01	7.0775e+06	2.0619e+06
2.5680e+03	1.2124e+03	-7.4291e+01	7.0763e+06	1.9903e+06
2.6652e+03	1.1713e+03	-7.4805e+01	7.0749e+06	1.9215e+06
2.7661e+03	1.1314e+03	-7.5306e+01	7.0737e+06	1.8549e+06
2.8708e+03	1.0927e+03	-7.5790e+01	7.0728e+06	1.7910e+06
2.9795e+03	1.0551e+03	-7.6258e+01	7.0717e+06	1.7294e+06
3.0923e+03	1.0187e+03	-7.6711e+01	7.0705e+06	1.6700e+06
3.2094e+03	9.8348e+02	-7.7147e+01	7.0692e+06	1.6129e+06
3.3309e+03	9.4939e+02	-7.7563e+01	7.0675e+06	1.5586e+06
3.4570e+03	9.1633e+02	-7.7967e+01	7.0661e+06	1.5061e+06
3.5879e+03	8.8434e+02	-7.8357e+01	7.0647e+06	1.4557e+06
3.7237e+03	8.5338e+02	-7.8734e+01	7.0634e+06	1.4071e+06
3.8647e+03	8.2343e+02	-7.9096e+01	7.0620e+06	1.3604e+06
4.0110e+03	7.9447e+02	-7.9446e+01	7.0605e+06	1.3155e+06
4.1629e+03	7.6644e+02	-7.9785e+01	7.0594e+06	1.2721e+06
4.3205e+03	7.3936e+02	-8.0110e+01	7.0581e+06	1.2306e+06
4.4841e+03	7.1321e+02	-8.0422e+01	7.0565e+06	1.1908e+06
4.6538e+03	6.8790e+02	-8.0722e+01	7.0555e+06	1.1526e+06
4.8300e+03	6.6348e+02	-8.1012e+01	7.0541e+06	1.1158e+06
5.0129e+03	6.3989e+02	-8.1288e+01	7.0526e+06	1.0807e+06
5.2027e+03	6.1713e+02	-8.1557e+01	7.0509e+06	1.0466e+06
5.3996e+03	5.9515e+02	-8.1815e+01	7.0493e+06	1.0139e+06
5.6041e+03	5.7391e+02	-8.2063e+01	7.0478e+06	9.8257e+05
5.8162e+03	5.5344e+02	-8.2302e+01	7.0459e+06	9.5237e+05
6.0365e+03	5.3363e+02	-8.2530e+01	7.0446e+06	9.2372e+05
6.2650e+03	5.1453e+02	-8.2749e+01	7.0430e+06	8.9607e+05
6.5022e+03	4.9609e+02	-8.2959e+01	7.0416e+06	8.6976e+05
6.7484e+03	4.7830e+02	-8.3159e+01	7.0401e+06	8.4462e+05
7.0038e+03	4.6113e+02	-8.3350e+01	7.0387e+06	8.2059e+05
7.2690e+03	4.4457e+02	-8.3534e+01	7.0371e+06	7.9760e+05
7.5442e+03	4.2861e+02	-8.3712e+01	7.0353e+06	7.7523e+05
7.8298e+03	4.1322e+02	-8.3879e+01	7.0334e+06	7.5428e+05
8.1263e+03	3.9836e+02	-8.4032e+01	7.0316e+06	7.3510e+05
8.4339e+03	3.8405e+02	-8.4188e+01	7.0295e+06	7.1555e+05
8.7532e+03	3.7025e+02	-8.4335e+01	7.0274e+06	6.9705e+05
9.0846e+03	3.5693e+02	-8.4478e+01	7.0253e+06	6.7923e+05
9.4286e+03	3.4408e+02	-8.4618e+01	7.0235e+06	6.6172e+05
9.7855e+03	3.3166e+02	-8.4744e+01	7.0222e+06	6.4598e+05
1.0156e+04	3.1972e+02	-8.4862e+01	7.0200e+06	6.3125e+05
1.0541e+04	3.0821e+02	-8.4978e+01	7.0179e+06	6.1669e+05
1.0940e+04	2.9709e+02	-8.5086e+01	7.0160e+06	6.0315e+05
1.1354e+04	2.8637e+02	-8.5188e+01	7.0142e+06	5.9051e+05
1.1784e+04	2.7605e+02	-8.5288e+01	7.0120e+06	5.7796e+05
1.2230e+04	2.6610e+02	-8.5386e+01	7.0100e+06	5.6579e+05
1.2693e+04	2.5648e+02	-8.5467e+01	7.0083e+06	5.5565e+05
1.3173e+04	2.4723e+02	-8.5550e+01	7.0061e+06	5.4521e+05
1.3672e+04	2.3832e+02	-8.5628e+01	7.0036e+06	5.3544e+05
1.4190e+04	2.2973e+02	-8.5703e+01	7.0013e+06	5.2603e+05
1.4727e+04	2.2143e+02	-8.5773e+01	6.9992e+06	5.1728e+05
1.5284e+04	2.1344e+02	-8.5839e+01	6.9968e+06	5.0909e+05
1.5863e+04	2.0575e+02	-8.5891e+01	6.9942e+06	5.0248e+05
1.6464e+04	1.9832e+02	-8.5940e+01	6.9918e+06	4.9631e+05
1.7087e+04	1.9117e+02	-8.5986e+01	6.9892e+06	4.9045e+05
1.7734e+04	1.8427e+02	-8.6031e+01	6.9867e+06	4.8478e+05
1.8405e+04	1.7762e+02	-8.6076e+01	6.9843e+06	4.7912e+05
1.9102e+04	1.7121e+02	-8.6112e+01	6.9819e+06	4.7454e+05
1.9825e+04	1.6503e+02	-8.6137e+01	6.9795e+06	4.7124e+05
2.0576e+04	1.5907e+02	-8.6162e+01	6.9771e+06	4.6801e+05
2.1355e+04	1.5333e+02	-8.6185e+01	6.9744e+06	4.6510e+05
2.2163e+04	1.4779e+02	-8.6207e+01	6.9717e+06	4.6220e+05
2.3002e+04	1.4246e+02	-8.6224e+01	6.9690e+06	4.6000e+05
